id_pedido;id_categoria;id_produto;id_forma_de_pagamento;quantidade_de_parcelas;quantidade_de_produtos;mes_criacao;id_cliente
0;1;1;2;0;1;01/01/2019;430
1;1;6;1;0;3;01/01/2019;501
2;3;12;2;0;2;01/01/2019;152
3;1;5;1;0;3;01/01/2019;395
4;1;6;3;10;4;01/01/2019;287
5;3;12;2;0;3;01/01/2019;141
6;2;8;4;0;2;01/01/2019;151
7;2;10;3;1;2;01/01/2019;565
8;1;1;2;0;2;01/01/2019;198
9;3;14;2;0;4;01/01/2019;586
10;1;4;2;0;3;01/01/2019;129
11;1;5;3;3;4;01/01/2019;127
12;1;7;1;0;2;01/01/2019;151
13;3;12;3;10;2;01/01/2019;228
14;2;9;4;0;3;01/01/2019;5
15;1;6;3;1;3;01/01/2019;551
16;1;4;3;7;1;01/01/2019;208
17;2;9;4;0;1;01/01/2019;355
18;1;5;2;0;3;01/01/2019;251
19;1;5;3;8;3;01/01/2019;4
20;1;6;3;2;2;01/01/2019;362
21;1;5;4;0;1;01/01/2019;61
22;2;9;3;7;2;01/01/2019;514
23;1;1;2;0;2;01/01/2019;463
24;1;2;3;8;1;01/01/2019;153
25;1;5;2;0;4;01/01/2019;210
26;1;3;2;0;1;01/01/2019;15
27;1;3;4;0;5;01/01/2019;543
28;1;1;3;1;1;01/01/2019;566
29;1;6;2;0;3;01/01/2019;413
30;1;2;3;1;3;01/01/2019;81
31;1;6;3;9;3;01/01/2019;274
32;1;4;3;10;1;01/01/2019;471
33;1;3;2;0;3;01/01/2019;295
34;1;4;2;0;2;01/01/2019;262
35;3;15;1;0;5;01/01/2019;138
36;2;8;2;0;4;01/01/2019;373
37;1;6;2;0;3;01/01/2019;239
38;1;6;3;9;2;01/01/2019;29
39;2;9;3;10;3;01/01/2019;598
40;1;3;1;0;1;01/01/2019;166
41;1;2;3;3;2;01/01/2019;207
42;3;15;2;0;1;01/01/2019;271
43;2;9;3;1;3;01/01/2019;580
44;1;3;2;0;1;01/01/2019;170
45;1;7;3;5;5;01/01/2019;560
46;1;3;3;5;2;01/01/2019;363
47;3;16;1;0;2;01/01/2019;186
48;1;5;3;8;2;01/01/2019;205
49;3;16;3;1;4;01/01/2019;430
50;1;7;2;0;4;01/01/2019;94
51;3;14;3;9;2;01/01/2019;325
52;1;5;3;1;4;01/01/2019;7
53;2;11;2;0;4;01/01/2019;299
54;1;1;2;0;4;01/01/2019;285
55;2;10;1;0;2;01/01/2019;579
56;3;14;1;0;2;01/01/2019;333
57;2;11;3;3;1;01/01/2019;286
58;1;2;1;0;2;01/01/2019;347
59;1;4;3;7;2;01/01/2019;89
60;2;10;3;2;2;01/01/2019;511
61;1;7;2;0;2;01/01/2019;419
62;1;6;3;2;4;01/01/2019;501
63;2;9;2;0;2;01/01/2019;337
64;1;4;2;0;1;01/01/2019;265
65;1;5;3;9;1;01/01/2019;59
66;1;1;4;0;1;01/01/2019;535
